"filename", "language", "C++", "comment", "blank", "total"
"/home/alex/Desktop/Nugget-Invader/Attacks.cpp", "C++", 44, 15, 19, 78
"/home/alex/Desktop/Nugget-Invader/Attacks.h", "C++", 26, 1, 16, 43
"/home/alex/Desktop/Nugget-Invader/Buttons.cpp", "C++", 51, 3, 13, 67
"/home/alex/Desktop/Nugget-Invader/Buttons.h", "C++", 18, 0, 6, 24
"/home/alex/Desktop/Nugget-Invader/ESPPL.h", "C++", 325, 38, 33, 396
"/home/alex/Desktop/Nugget-Invader/Graphics.h", "C++", 564, 3, 11, 578
"/home/alex/Desktop/Nugget-Invader/MenuInterface.cpp", "C++", 204, 18, 62, 284
"/home/alex/Desktop/Nugget-Invader/MenuInterface.h", "C++", 55, 5, 29, 89
"/home/alex/Desktop/Nugget-Invader/Monitor.cpp", "C++", 5, 0, 5, 10
"/home/alex/Desktop/Nugget-Invader/Monitor.h", "C++", 8, 0, 4, 12
"/home/alex/Desktop/Nugget-Invader/Nugget-Invader.ino", "C++", 68, 7, 21, 96
"/home/alex/Desktop/Nugget-Invader/WiFiScanner.cpp", "C++", 93, 71, 49, 213
"/home/alex/Desktop/Nugget-Invader/WiFiScanner.h", "C++", 22, 2, 8, 32
"Total", "-", 1483, 163, 276, 1922
